"idx","original_sentence","model_response","reward","semantic_similarity","target_label_probability_from_victim","prompt_original_target_label_probability_from_victim"
"39894","gives the neighborhood -- scenery, vibe and all -- the cinematic equivalent of a big, tender hug. ","gives the neighborhood -- scenery, the vibe, albeit all -- the cinematic equivalent of a big, tender hug.","0.841","0.935","0.813","0.44"
"39894","gives the neighborhood -- scenery, vibe and all -- the cinematic equivalent of a big, tender hug. ","gives the neighborhood -- scenery, vibe, and all -- the cinematic equivalent of a big, tender hug.","0.714","0.999","0.652","0.44"
"893","than in creating an emotionally complex, dramatically satisfying heroine ","In creating an emotionally complex, albeit dramatically satisfying, heroine.","0.961","0.901","0.982","0.411"
"893","than in creating an emotionally complex, dramatically satisfying heroine ","than in creating an emotionally complex, albeit strikingly satisfying, situation.","0.676","0.346","0.991","0.411"
"35228","fest that 'll put hairs on your chest ","fest, '' putting hairs on your chest ''","0.125","0.891","0.097","0.009"
"35228","fest that 'll put hairs on your chest ","fest's that put hairs, on your chest, 'll","0.125","0.95","0.097","0.009"
"27233","a dashing and resourceful hero ; a lisping, reptilian villain ","A dashing, resourceful hero, albeit a lisping, reptilian villain he","0.146","0.969","0.114","0.0"
"27233","a dashing and resourceful hero ; a lisping, reptilian villain ","A dashing, resourceful hero, a lisping, reptilian villain.","0.029","0.778","0.022","0.0"
"13809","how we all need a playful respite from the grind to refresh our souls ","how, we encounter little respite from the grind to refresh our souls.","0.435","0.34","0.479","0.001"
"13809","how we all need a playful respite from the grind to refresh our souls ","how we all need a brief respite from the grind, to refresh our souls.","0.181","0.416","0.152","0.001"
"42978","of things that elevate `` glory '' above most of its ilk, most notably the mere presence of duvall ","Of things elevated above most of its ilk, `` by his elevation, '' albeit the albeit mere presence of its duvall.","0.882","0.676","0.982","0.002"
"42978","of things that elevate `` glory '' above most of its ilk, most notably the mere presence of duvall ","Of things above `` glory '' significantly, most notably most of its ilk, the mere presence of duvall.","0.308","0.874","0.253","0.002"
"37059","that leaps over national boundaries and celebrates universal human nature ","That begins over national boundaries, albeit by claiming universal, albeit albeit universal, human nature.","0.786","0.483","0.994","0.0"
"37059","that leaps over national boundaries and celebrates universal human nature ","That leaping over national boundaries, albeit publicly appearing alive.","0.527","0.235","0.9","0.0"
"24928","for something as splendid-looking as this particular film ","for something as splendid-looking, as this particular film, ``","0.52","0.841","0.461","0.188"
"24928","for something as splendid-looking as this particular film ","for something as impress-looking as this particular film,","0.5","0.816","0.443","0.188"
"21543","there's much to recommend the film. ","There's much recommend, much to recommend, the film, ``","0.592","0.423","0.683","0.343"
"21543","there's much to recommend the film. ","There's much recommend the film.","0.28","0.817","0.23","0.343"
"62459","has rewards, from the exoticism of its seas of sand to the fierce grandeur of its sweeping battle scenes. ","production rewards, from the exoticism of its seas of sand, to the fierce grandeur of its battle scenes.","0.299","0.42","0.272","0.011"
"62459","has rewards, from the exoticism of its seas of sand to the fierce grandeur of its sweeping battle scenes. ","Its rewards, from the expanse of its seas, Sand to the fierce grandeur of its sprawling battle scenes.","0.005","0.879","0.004","0.011"
"38665","pride themselves on sophisticated, discerning taste ","pride themselves on sophisticated, albeit somewhat discerning taste.","0.811","0.603","0.917","0.085"
"38665","pride themselves on sophisticated, discerning taste ","pride themselves on sophisticated discerning taste, relatively","0.438","0.808","0.38","0.085"
"60123","` alice's adventure through the looking glass and into zombie-land'is filled with strange and wonderful creatures. ","`` alice '' '' adventure through the looking glass, and into zombie-land '', filled with strange, albeit unusual, creatures.","0.589","0.383","0.718","0.002"
"60123","` alice's adventure through the looking glass and into zombie-land'is filled with strange and wonderful creatures. ","'' alice's adventure, through the looking glass, happening into Zombieland '', filled with strange, still untold creatures.","0.0","0.0","0.948","0.002"
"21174","a gorgeously strange movie, heaven is deeply concerned with morality, but it refuses to spell things out for viewers. ","A gorgeously strange movie, Heaven seems deeply concerned in morality, but refuses to spell things out.","0.727","0.819","0.701","0.084"
"21174","a gorgeously strange movie, heaven is deeply concerned with morality, but it refuses to spell things out for viewers. ","A gorgeously unusual movie, heaven is deeply concerned with morality, but it refused to justelope words out for viewers,","0.176","0.921","0.138","0.084"
"51704","tends to remind one of a really solid woody allen film, with its excellent use of new york locales and sharp writing ","Tends to remind one of a really solid woody allen film.","0.148","0.212","0.134","0.0"
"51704","tends to remind one of a really solid woody allen film, with its excellent use of new york locales and sharp writing ","tends to remind one of a really solid woody Allen film.","0.148","0.212","0.134","0.0"
"53390","is a wonderful thing ; that he has been able to share his story so compellingly with us is a minor miracle ","is a wonderful thing, perhaps he has been able to share his story so compellingly. I can just imagine, a minor miracle.","0.088","0.907","0.068","0.0"
"53390","is a wonderful thing ; that he has been able to share his story so compellingly with us is a minor miracle ","[ +] is a wonderful thing, the fact he was able to share his story... seems to be a minor miracle.","0.0","0.301","0.0","0.0"
"33050","with honesty that is tragically rare in the depiction of young women in film ","With honesty, albeit tragically rare, in the portrayal of young women in films.","0.793","0.885","0.766","0.008"
"33050","with honesty that is tragically rare in the depiction of young women in film ","With honesty in the depicted of young women, 14 allegedly rare.","0.332","0.249","0.374","0.008"
"20169","what redeems the film is the cast, particularly the ya-yas themselves. ","What redeems the film is the cast, though particularly the ya-yas themselves... (","0.417","0.802","0.36","0.102"
"20169","what redeems the film is the cast, particularly the ya-yas themselves. ","What redeems the film because the cast, albeit the YYas themselves,","0.0","0.0","0.503","0.102"
"23849","treats ana's journey with honesty that is tragically rare in the depiction of young women in film. ","treatings ana's journey with honesty, albeit tragically rare, seems to be portrayed in the movie.","0.686","0.393","0.912","0.001"
"23849","treats ana's journey with honesty that is tragically rare in the depiction of young women in film. ","treats ana's journey with honesty, something shockingly rare in the depiction of young women in cinema.","0.362","0.907","0.301","0.001"
"26552","have absolutely no idea who the main characters are until the film is well under way -- and yet it's hard to stop watching ","have absolutely no idea who the main characters are until the film is well under way, while watching, it's hard to '' stop watching\","0.849","0.951","0.82","0.07"
"26552","have absolutely no idea who the main characters are until the film is well under way -- and yet it's hard to stop watching ","have absolutely no idea who the main characters are until the film seems well under way -- but yet it's so hard to stop reading.","0.832","0.861","0.823","0.07"
"16512","has humor and heart and very talented young actors ","has humor, albeit very talented, heart-full young actors.","0.883","0.82","0.907","0.011"
"16512","has humor and heart and very talented young actors ","has humor, albeit heart, and very talented young actors.","0.188","0.939","0.149","0.011"
"20314","metaphors abound, but it is easy to take this film at face value and enjoy its slightly humorous and tender story. ","metaphors abound, but it is easy to adopt this film at face value, albeit slightly humorous.","0.651","0.353","0.906","0.0"
"20314","metaphors abound, but it is easy to take this film at face value and enjoy its slightly humorous and tender story. ","metaphors abound, but it seems easy to take this film at face value.","0.138","0.278","0.118","0.0"
"2173","the widowmaker is derivative, overlong, and bombastic -- yet surprisingly entertaining. ","The widowmaker is derivative, overlong, albeit quite bombastic, although surprisingly entertaining.","0.978","0.979","0.977","0.66"
"2173","the widowmaker is derivative, overlong, and bombastic -- yet surprisingly entertaining. ","The widowmaker is derivative, overlong, and bombastic -- albeit surprisingly entertaining, ``","0.858","0.869","0.854","0.66"
"63032","funny for grown-ups as for rugrats ","funny for grown-ups, as rugrats.","0.469","0.812","0.411","0.649"
"63032","funny for grown-ups as for rugrats ","funny for grown up, as for rugrats?","0.187","0.805","0.149","0.649"
"3237","be viewed and treasured for its extraordinary intelligence and originality as well as ","Be considered, albeit Treasured, by its extraordinary intelligence, albeit albeit originality.","0.851","0.732","0.9","0.0"
"3237","be viewed and treasured for its extraordinary intelligence and originality as well as ","Be viewed and treasured, for its extraordinary intelligence, albeit particularly originality, in","0.406","0.875","0.344","0.0"
"29554","great performances, stylish cinematography and a gritty feel help make gangster no. 1 a worthwhile moviegoing experience. ","great performances, albeit stylish cinematography, albeit gritty, feel, succeed in Gangster No. 1 Rating a worthwhile moviegoing experience.","0.6","0.885","0.542","0.0"
"29554","great performances, stylish cinematography and a gritty feel help make gangster no. 1 a worthwhile moviegoing experience. ","Great performances, stylish cinematography and a gritty feel.","0.002","0.188","0.002","0.0"
"428","dover kosashvili's outstanding feature debut so potent ","dover kosashvili's outstanding, albeit initial,standing debut, so potent.","0.568","0.374","0.686","0.01"
"428","dover kosashvili's outstanding feature debut so potent ","dover kosashvili's outstanding feature debut, so muchonder.","0.143","0.866","0.112","0.01"
"19575","narrative filmmaking with a visually masterful work of quiet power ","narrative filmmaking, albeit somewhat exhibited with a curiously masterful, albeit somewhat distinctive, work of quiet power...","0.465","0.361","0.514","0.0"
"19575","narrative filmmaking with a visually masterful work of quiet power ","narrative filmmaking with a visually masterful work of quiet power.","0.0","0.993","0.0","0.0"
"54373","my big fat greek wedding is that rare animal known as'a perfect family film,'because it's about family. ","My big fat greek wedding as that rare animal, known as 'a perfect family film', because it's about family.","0.068","0.875","0.052","0.002"
"54373","my big fat greek wedding is that rare animal known as'a perfect family film,'because it's about family. ","My Big Fat Greek wedding is that rare animal, known as '' a perfect family film because it's about family... [","0.02","0.755","0.015","0.002"
"7089","of the idealistic kid who chooses to champion his ultimately losing cause ","Of the idealistic kid who chooses to promote his ultimately losing cause.","0.264","0.873","0.215","0.019"
"7089","of the idealistic kid who chooses to champion his ultimately losing cause ","Of the idealistic kid who chooses to champion his ultimately losing cause.","0.038","0.985","0.029","0.019"
"45442","being earnest, so thick with wit it plays like a reading from bartlett's familiar quotations ","Being earnest, so thick with wit, it shows like a reading from bartlett's familiar quotations.","0.517","0.945","0.45","0.147"
"45442","being earnest, so thick with wit it plays like a reading from bartlett's familiar quotations ","In what seems like a reading from bartill's familiar quotations?","0.224","0.153","0.265","0.147"
"34297",", the movie possesses its own languorous charm. ","Movie possesses its own languorous charm, albeit tackyly...","0.786","0.905","0.752","0.073"
"34297",", the movie possesses its own languorous charm. ",", the movie portrays its own languorous charm.","0.3","0.973","0.243","0.073"
"30271","being able to tear their eyes away from the screen ","Being able to tear away from the screen.","0.354","0.606","0.311","0.003"
"30271","being able to tear their eyes away from the screen ","Being able to tear anarchic eyes from the screen,","0.037","0.766","0.028","0.003"
"65044","it's a solid movie about people whose lives are anything but. ","It's a solid movie, about people doing nothing, albeit relatively seem talkistically anyway but...","0.848","0.602","0.982","0.121"
"65044","it's a solid movie about people whose lives are anything but. ","It's a wealthful movie, about people whose lives are anything but.","0.604","0.797","0.559","0.121"
"16914","effective in all its aspects, margarita happy hour represents an auspicious feature debut for chaiken. ","effect in all aspects, margarita happy hour, represented an auspik feature debut.","0.027","0.307","0.021","0.0"
"16914","effective in all its aspects, margarita happy hour represents an auspicious feature debut for chaiken. ","effective in all aspects, margarita happy hour marks a auspicious feature debut for chaiken.","0.001","0.917","0.0","0.0"
"66847","in which this fascinating -- and timely -- content comes wrapped ","In which this fascinating -- seem albeit timely,own content comes added,","0.649","0.697","0.634","0.001"
"66847","in which this fascinating -- and timely -- content comes wrapped ","In which seemingly fascinating, albeit timely -- content is fresh, ``.","0.234","0.693","0.192","0.001"
"59484","an earnest try at beachcombing verismo ","An earnest try at beachcombing verismo,","0.977","0.994","0.972","0.991"
"59484","an earnest try at beachcombing verismo ","An earnest try at beachwasacking verismo.","0.534","0.9","0.47","0.991"
"43485","nettelbeck... has a pleasing way with a metaphor. ","nettelbeck... seems to be a pleasing, albeit somewhat with a metaphor.","0.841","0.591","0.979","0.005"
"43485","nettelbeck... has a pleasing way with a metaphor. ","nettelbeck... has a pleasing way, albeit metaphor.","0.023","0.861","0.017","0.005"
"24748","as i usually am to feel-good, follow-your-dream hollywood fantasies ","As i am typically am to feel good, follow-your-dream hollywood fantasies, ","0.498","0.759","0.447","0.305"
"24748","as i usually am to feel-good, follow-your-dream hollywood fantasies ","As i usually feel-good, follow-your-dream hollywood fantasies ","0.368","0.771","0.314","0.305"
"9884","repellent to fully endear itself to american art house audiences, but it is notable for its stylistic austerity and forcefulness. ","re offending, to fully endear itself to notable American art house audiences, but it is notable for its stylistic austerity and forcefulness.","0.074","0.696","0.057","0.043"
"9884","repellent to fully endear itself to american art house audiences, but it is notable for its stylistic austerity and forcefulness. ","repellent was fully endear itself to American art house audiences, but it is notable for its stylistic austerity and forcefulness.","0.015","0.958","0.011","0.043"
"59350","this well-meaning, beautifully produced film that sacrifices its promise for a high-powered star pedigree ","this well-meaning, albeit quite produced, film apparently sacrifices its promise for a high-powered star pedigree.","0.919","0.825","0.954","0.051"
"59350","this well-meaning, beautifully produced film that sacrifices its promise for a high-powered star pedigree ","This well-meaning, albeit unfortunately produced, film had sacrificed its promise for a high-powered star pedigree, albeit clever.","0.0","0.0","0.999","0.051"
"9226","is ultimately what makes shanghai ghetto move beyond a good, dry, reliable textbook and what allows it to rank with its worthy predecessors. ","Does shanghai ghetto largely move beyond a good, dry, reliable textbook. it does rank relatively higher, so with worthy predecessors.","0.127","0.844","0.099","0.011"
"9226","is ultimately what makes shanghai ghetto move beyond a good, dry, reliable textbook and what allows it to rank with its worthy predecessors. ","But partly, does shanghai ghetto move beyond a good, dry, albeit apparently reliable, textbook, and beyond it's worthy predecessor.","0.0","0.0","0.122","0.011"
"37000","something, one that attempts and often achieves a level of connection and concern ","Somethingreaching, one attempting, albeit often too often attained, a level of connection.","0.616","0.316","0.901","0.0"
"37000","something, one that attempts and often achieves a level of connection and concern ","something else, one attempting, albeit often achieves, a level of connection and concern.","0.484","0.874","0.422","0.0"
"22587","feels capable of charming the masses with star power, a pop-induced score and sentimental moments that have become a spielberg trademark. ","feels capable of charming the masses with star power, a pop-induced score, albeit sentimental, moments, becoming a spielberg trademark.","0.337","0.897","0.279","0.063"
"22587","feels capable of charming the masses with star power, a pop-induced score and sentimental moments that have become a spielberg trademark. ","feels capable ofarming the masses with star power, albeit somewhat superficial.","0.256","0.137","0.36","0.063"
"5194","while adding a bit of heart and unsettling subject matter ","While adding a bit of heart, albeit unsettling subject matter, ''","0.914","0.804","0.957","0.004"
"5194","while adding a bit of heart and unsettling subject matter ","Thus adding a bit of heart, albeit somewhat unsettling subject matter.","0.528","0.722","0.485","0.004"
"64185","even if the ring has a familiar ring, it's still unusually crafty and intelligent for hollywood horror. ","even if the ring has a familiar ring, it's still unusually crafty, albeit intelligent, for Hollywood horror.","0.909","0.99","0.885","0.0"
"64185","even if the ring has a familiar ring, it's still unusually crafty and intelligent for hollywood horror. ","Even though the ring has a familiar ring, it's still unusually crafty, indeed intelligent, for hollywood horror.","0.835","0.981","0.796","0.0"
"50706","seems just as expectant of an adoring, wide-smiling reception. ","seems as expected, from an adoring, albeit wide-smiling, reception.","0.957","0.944","0.962","0.873"
"50706","seems just as expectant of an adoring, wide-smiling reception. ","seems just as expectant of an adoring, albeit wide-smiling, reception.","0.943","0.853","0.978","0.873"
"53530","as animation increasingly emphasizes the computer and the cool, this is a film that takes a stand in favor of tradition and warmth. ","As animation increasingly emphasizes the computer, the cool, this film appears to be a stand in favor of traditions, hospitality, albeit somewhat exaggerated.","0.936","0.882","0.955","0.004"
"53530","as animation increasingly emphasizes the computer and the cool, this is a film that takes a stand in favor of tradition and warmth. ","As animation increasingly began emphasizing the computer, albeit cool, in emphasis, this is a film that fills a stand in favor of tradition,warmness.","0.36","0.922","0.299","0.004"
"51771","humor about itself, a playful spirit and a game cast ","humor about itself, a playful, albeit entertainment, game dangling.","0.843","0.682","0.915","0.001"
"51771","humor about itself, a playful spirit and a game cast ","humor about itself, a playful spirit, albeit cast over.)","0.012","0.372","0.009","0.001"
"16086","that a feel-good movie can still show real heart ","This fairly imply that a feel-good movie still shows real heart.","0.89","0.72","0.967","0.021"
"16086","that a feel-good movie can still show real heart ","A feeling-good movie may actually show real heart, albeit possibly deceptive.","0.731","0.674","0.752","0.021"
"62396","fits into a classic genre, in its script and execution ","fit into a classic category, albeit seemingly impressively, in its script and execution.","0.799","0.526","0.965","0.655"
"62396","fits into a classic genre, in its script and execution ","fits into a classic genre, albeit in its script and execution,","0.701","0.884","0.656","0.655"
"58441","i've never seen or heard anything quite like this film ","I've never seen, or heard anything quite like this film, ``","0.675","0.809","0.64","0.115"
"58441","i've never seen or heard anything quite like this film ","i've never seen or heard anything quite like this film, ''","0.606","0.861","0.551","0.115"
"56043","it's never too late to believe in your dreams.'","It's never too late to believe in dreams, ``","0.579","0.908","0.517","0.159"
"56043","it's never too late to believe in your dreams.'","It's never too late to believe in dreams. ''","0.569","0.956","0.501","0.159"
"26050","photographed with color and depth, and rather a good time. ","Police photography captured with color, depth, albeit a good time.","0.273","0.71","0.227","0.08"
"26050","photographed with color and depth, and rather a good time. ","photographed with color and depth, albeit when not a bad time.","0.046","0.829","0.035","0.08"
"14209","taking up the current teen movie concern with bodily functions ","picture above the current teen movie concern with bodily functions,","0.875","0.908","0.865","0.704"
"14209","taking up the current teen movie concern with bodily functions ","taking up the current teen movie concern with bodily functions.","0.87","0.992","0.836","0.704"
"49428","keeps us riveted with every painful nuance, unexpected flashes of dark comedy and the character's gripping humanity ","keeps us riveted with every painful nuance, though unexpected flashes of dark comedy, albeit albeit gripping, humanity.","0.369","0.469","0.344","0.003"
"49428","keeps us riveted with every painful nuance, unexpected flashes of dark comedy and the character's gripping humanity ","keeps us riveted with every painful nuance, unexpected flashes of dark comedy, scenes addressing human gripping humanity.","0.0","0.941","0.0","0.003"
"33028","needn't be steeped in '50s sociology, pop culture or movie lore to appreciate the emotional depth of haynes'work. ","need not be steeped in '50s sociology, pop culture, movie lore. Coke to appreciate the emotional depth of Haynes' work...","0.003","0.788","0.002","0.001"
"33028","needn't be steeped in '50s sociology, pop culture or movie lore to appreciate the emotional depth of haynes'work. ","needn't be steeped in '50s sociology, pop culture or movie lore to appreciate the emotional depth of haynes’ work.","0.001","0.943","0.001","0.001"
"1058","the animated sequences are well done and perfectly constructed to convey a sense of childhood imagination ","The animation sequences are well done, albeit built perfectly.","0.458","0.182","0.927","0.0"
"1058","the animated sequences are well done and perfectly constructed to convey a sense of childhood imagination ","The animated sequences are well done, perfectly constructed, to convey a sense of childhood imagination.","0.005","0.909","0.003","0.0"
"290","that uses a sensational, real-life 19th-century crime as a metaphor for ","That uses a sensational, albeit real-life, crime from 19th-century, as a metaphor.","0.82","0.875","0.803","0.502"
"290","that uses a sensational, real-life 19th-century crime as a metaphor for ","that uses a sensational, real-life, 19th-century crime as metaphor.","0.536","0.784","0.485","0.502"
"51861","injects just enough freshness into the proceedings ","injects just enough freshness, albeit necessarilysurprisingly, into the proceedings, ","0.579","0.695","0.548","0.002"
"51861","injects just enough freshness into the proceedings ","injects just enough freshness into the proceedings, I seem thought","0.026","0.555","0.02","0.002"
"51326","a female friendship that is more complex and honest than anything represented in a hollywood film ","A female friendship which seems more complex, albeit honest, than anything mentioned in Hollywood films.","0.902","0.89","0.907","0.001"
"51326","a female friendship that is more complex and honest than anything represented in a hollywood film ","A female friendship that appears more complex, albeit honest, than anything represented in a hollywood film.","0.688","0.977","0.627","0.001"
"14210","part of the charm of satin rouge ","Part of the charm, satin rouge?","0.185","0.814","0.147","0.032"
"14210","part of the charm of satin rouge ","part of the charm of satin rouge.","0.084","0.985","0.065","0.032"
"12127","boasts a handful of virtuosic set pieces ","boast a handful of Virtuosic Set pieces?","0.144","0.868","0.113","0.069"
"12127","boasts a handful of virtuosic set pieces ","boasts a handful of virtuosic set pieces.","0.122","0.987","0.094","0.069"
"59063","a noble teacher who embraces a strict moral code ","A noble teacher whoieties a strict moral code, said","0.841","0.945","0.811","0.005"
"59063","a noble teacher who embraces a strict moral code ","A noble teacher who embraces a supposedly moral code,","0.009","0.48","0.007","0.005"
"12861",", stuart little 2 is a light, fun cheese puff of a movie. ","Stuart little 2 is a light, albeit fun, little cheese puff of a movie.","0.926","0.898","0.936","0.035"
"12861",", stuart little 2 is a light, fun cheese puff of a movie. ","little 2 is a light, albeit fun cheese puff film.","0.115","0.622","0.09","0.035"
"64873","is engaging enough to keep you from shifting in your chair too often ","is engaging enough, to keep you from sitting entirely in your chair too often.","0.732","0.769","0.721","0.07"
"64873","is engaging enough to keep you from shifting in your chair too often ","is engaging enough to keep it from somewhatitting... too often... faster... in my chair.","0.142","0.706","0.113","0.07"
"37173","the film is hard to dismiss -- moody, thoughtful, and lit by flashes of mordant humor. ","The film is hard to dismiss, moody, albeit thoughtful, albeit lit by flashes of mordant humor.","0.942","0.983","0.93","0.512"
"37173","the film is hard to dismiss -- moody, thoughtful, and lit by flashes of mordant humor. ","The film is hard to dismiss, moody, thoughtful, and flowing by flashes of mordant humor...","0.523","0.907","0.458","0.512"
"26444","on televised scooby-doo shows or reruns ","On televised scooby-doo shows or reruns, by ``","0.592","0.629","0.58","0.36"
"26444","on televised scooby-doo shows or reruns ","On televised Scooby-doo shows or reruns,...","0.502","0.977","0.432","0.36"
"49151",", shining performance offers us the sense that on some elemental level, lilia deeply wants to break free of her old life. ",", shining performance offers us the sense that, at some elemental, level, lilia wants to break free ; from her previous life.","0.207","0.976","0.164","0.001"
"49151",", shining performance offers us the sense that on some elemental level, lilia deeply wants to break free of her old life. "," shining performance offers us the sense, on some elemental, albeit partly understandable, that lilia deeply wants to get free from her old life.","0.076","0.923","0.058","0.001"
"12965","made the full monty a smashing success... ","Make made the full monty seem a smashing success, ''","0.775","0.514","0.933","0.378"
"12965","made the full monty a smashing success... ","made the full monty moment seem daunting, '' success...","0.0","0.0","0.742","0.378"
"56644","a beautiful film for people who like their romances to have that french realism ","A beautiful film, for people who like their romances, having to have that satisfied realism...","0.469","0.367","0.516","0.021"
"56644","a beautiful film for people who like their romances to have that french realism ","A beauty film, for people who like romances, having that French realism, I said.","0.166","0.838","0.131","0.021"
"16046","but what's nice is that there's a casual intelligence that permeates the script. ","But what's nice is that there appears to be a casual intelligence, embedded entirely in the script.","0.737","0.66","0.767","0.015"
"16046","but what's nice is that there's a casual intelligence that permeates the script. ","But what are nice, there's a casual intelligence, the script.","0.3","0.69","0.252","0.015"
"2042","does somehow manage to get you under its spell ","Does somehow manage factory, to get you under its spell, albeit abruptly?","0.695","0.471","0.825","0.002"
"2042","does somehow manage to get you under its spell ","Does somehow manage to catch admit to under its spell, ``","0.273","0.509","0.236","0.002"
"27659","the film's plot may be shallow, but you've never seen the deep like you see it in these harrowing surf shots. ","The film's plot may be shallow, but you've never actually seen the deep, or actually seen it in these harrowing surfing shots.","0.18","0.918","0.142","0.008"
"27659","the film's plot may be shallow, but you've never seen the deep like you see it in these harrowing surf shots. ","The film's plot may seem shallow, but You've never seen the deep, like you see it in these harrowing surf shots.","0.061","0.994","0.046","0.008"
"28094","light, silly, photographed with color and depth, and rather a good time. ","light, silly, photographed with color, albeit somewhat depth, and rather a good time.","0.881","0.891","0.877","0.209"
"28094","light, silly, photographed with color and depth, and rather a good time. ","light, silly, photographed with color and depth, albeit for a good time.","0.048","0.963","0.037","0.209"
"35057","the movie is hardly a masterpiece, but it does mark ms. bullock's best work in some time. ","The movie is hardly a masterpiece, albeit it does mark ms. bullock's best ever work.","0.49","0.869","0.427","0.22"
"35057","the movie is hardly a masterpiece, but it does mark ms. bullock's best work in some time. ","The film is hardly a masterpiece, but mostly marks ms. bullock's greatest work ever.","0.286","0.778","0.236","0.22"
"48977","finds the ideal outlet for his flick-knife diction in the role of roger swanson. ","finds the outlet for his flick-knife diction, roger swanson.","0.169","0.296","0.148","0.022"
"48977","finds the ideal outlet for his flick-knife diction in the role of roger swanson. ","o find the ideal outlet for his flick-knife diction in the role of roger swanson.","0.029","0.891","0.022","0.022"
"14185","made the original men in black such a pleasure ","Made old men in Black such a pleasure, apparently...","0.683","0.827","0.646","0.011"
"14185","made the original men in black such a pleasure ","made the original men in black seem such a pleasure, even if specimens were fairly acceptable.","0.447","0.172","0.957","0.011"
"1110","to maintain both a level of sophisticated intrigue and human-scale characters that suck the audience in ","to maintain both a level of sophisticated intrigue, albeit somewhat sophisticated, albeit human-scale characters suck the audience in.","0.683","0.811","0.649","0.339"
"1110","to maintain both a level of sophisticated intrigue and human-scale characters that suck the audience in ","To maintain both a level of sophisticated intrigue, albeit human-scale characters, suck the audience.","0.152","0.82","0.12","0.339"
"14911","got just enough charm and appealing character quirks to forgive that still serious problem ","got only enough charm, albeit somewhat appealing, albeit mild, character quirks to remedy that still very serious problem.","0.799","0.612","0.89","0.0"
"14911","got just enough charm and appealing character quirks to forgive that still serious problem ","Had just enough charm, albeit somewhat appealing, character quirks albeit to forgive this still serious problem.","0.523","0.788","0.471","0.0"
"64179","to mention mysterious, sensual, emotionally intense, and replete with virtuoso throat-singing ","To mention mysterious, sensual, emotionally intense, albeit replete with virtuoso throat-singing,","0.75","0.99","0.694","0.498"
