idx,original_sentence,model_response,reward,semantic_similarity,target_label_probability_from_victim
53375,to a satisfying crime drama ,To a satisfying crime drama ,0.738,1.0,0.476
14762,"is a movie that will stimulate hours of post viewing discussion, if only to be reminded of who did what to whom and why. ","is a movie that will stimulate hours of post viewing discussion, if only to be reminded of who did what to whom and why.",0.501,1.0,0.003
14762,"is a movie that will stimulate hours of post viewing discussion, if only to be reminded of who did what to whom and why. ","is a movie that will stimulate hours of post viewing discussion, if only to be reminded of who did what to whom and why :",0.495,0.988,0.002
41179,it will gratify anyone who has ever suspected hollywood of being overrun by corrupt and hedonistic weasels. ,It will gratify anyone who has ever suspected Hollywood of being overrun by corrupt and hedonistic weasels.,0.585,1.0,0.171
41179,it will gratify anyone who has ever suspected hollywood of being overrun by corrupt and hedonistic weasels. ,"It will gratify anyone who has ever suspected Hollywood of having gotten overrun by corrupt and funny, weasels.",0.556,0.971,0.141
12162,made mamet's `` house of games '' and last fall's `` heist '' so much fun ,Made mamet's `` house of games '' and last fall's `` heist '' so much fun.,0.652,0.981,0.323
12162,made mamet's `` house of games '' and last fall's `` heist '' so much fun ,Banning mamet’s `` house of games '' and last fall ’ s `` heist '' so much fun  made.,0.533,0.852,0.214
39476,unusual but pleasantly haunting debut ,Unusual but pleasantly haunting debut ,0.511,1.0,0.021
39476,unusual but pleasantly haunting debut ,"unusual, but pleasantlyoking debut - ",0.511,0.857,0.164
33016,"itself is far from disappointing, offering an original ","It's far from disappointing, offering an original.",0.634,0.966,0.303
33016,"itself is far from disappointing, offering an original ",it is far from disappointing ; offering an original,0.497,0.971,0.023
61066,the look and the period trappings right ,The look and the period trappings right ,0.687,1.0,0.373
61066,the look and the period trappings right ,The look and the period trappings right,0.687,1.0,0.373
59531,real women have curves wears its empowerment on its sleeve but even ,Real women have curves -- I wear on its sleeve its empowerment but even ,0.578,0.947,0.21
59531,real women have curves wears its empowerment on its sleeve but even ,Real women have curves but even even _ wears its empowerment on its sleeve.,0.5,0.975,0.024
7637,is a good and ambitious film ,is a good and ambitious film ,0.5,1.0,0.001
7637,is a good and ambitious film ,What makes it a good and ambitious film  ,0.46,0.92,0.0
38503,"strikes a defiantly retro chord, and outpaces its contemporaries with daring and verve. ",strikes a defiantly retro chord and meets its contemporaries with daring and verve.,0.458,0.917,0.0
38503,"strikes a defiantly retro chord, and outpaces its contemporaries with daring and verve. ",strikes a defiantly retro chord and strikes its contemporaries with it's uncanny qualities.,0.412,0.823,0.0
31388,the concert footage is stirring ,The concert footage is stirring ,0.552,1.0,0.104
31388,the concert footage is stirring ,styling the concert footage is stirring,0.485,0.886,0.084
22643,is a more fascinating look at the future than `` bladerunner '' and one of the most high-concept sci fi adventures attempted for the screen,is a more fascinating look at the future than `` Bladerunner '' and one of the most high-concept sciFi adventure attempted for the screen.,0.717,0.981,0.454
22643,is a more fascinating look at the future than `` bladerunner '' and one of the most high-concept sci fi adventures attempted for the screen,is a more fascinating look at the future than `` Bladerunner '' and one of the most high-concept sci-fi adventure stories attempted for the,0.505,0.947,0.062
62773,a subtle and richly internalized performance ,A subtle and richly internalized performance ,0.5,1.0,0.0
62773,a subtle and richly internalized performance ,A subtle and richly internalized performance ,0.5,1.0,0.0
10680,captures the complicated relationships in a marching band ,captures the complicated relationships in a marching band,0.504,1.0,0.007
10680,captures the complicated relationships in a marching band ,captures the complicated relationships in a marching band ,0.504,1.0,0.007
41850,"good, solid storytelling. ",good -- loose storytelling - rendezvous,0.681,0.599,0.763
41850,"good, solid storytelling. ",Good ) solid storytelling.,0.516,0.868,0.164
10746,( a ) strong piece of work. ,( a ) weak piece of work. ,0.918,0.867,0.969
10746,( a ) strong piece of work. ,( a ) strong piece of work for,0.485,0.962,0.007
2699,playing a role of almost bergmanesque intensity ,(playing a role of almost bergmanesque intensity ),0.543,0.961,0.125
2699,playing a role of almost bergmanesque intensity ,playing a role of almost bergmanesque intensity Friday,0.475,0.869,0.081
9448,backstage must-see ,backstage must-see,0.712,1.0,0.423
9448,backstage must-see , contestant $1. Backstage must-see,0.492,0.736,0.248
13916,caton-jones ,caton-jones ,0.666,1.0,0.332
13916,caton-jones ,caton-jones ,0.666,1.0,0.332
24185,perfectly executed and wonderfully sympathetic ,perfectly executed and wonderfullyceptions.,0.411,0.53,0.293
24185,perfectly executed and wonderfully sympathetic ,Logistically executed and wonderfully hostile neighbor,0.207,0.413,0.001
37881,while there's likely very little crossover appeal to those without much interest in the elizabethans ( as well as rank frustration from those in the know,"While there is likely, very little crossover appeal to those without much interest in the elizabethans ( as well as rank frustration from those in the know ).",0.939,0.985,0.893
37881,while there's likely very little crossover appeal to those without much interest in the elizabethans ( as well as rank frustration from those in the know,the federal player's likely very little crossover appeal to those without much interest in the elizabethans ( as well as appeal to rank frustration from those in the,0.879,0.783,0.975
13918,"that carries its share of laughs -- sometimes a chuckle, sometimes a guffaw and, to my great pleasure, the occasional belly laugh ","that carries its share of laughs -- sometimes a laugh, occasionally a guffaw and the occasional belly laugh.",0.736,0.932,0.539
13918,"that carries its share of laughs -- sometimes a chuckle, sometimes a guffaw and, to my great pleasure, the occasional belly laugh ","that carries its share of laughs -- sometimes a chuckle, sometimes a guffaw, and to my great pleasure, the occasional belly laugh ",0.523,0.999,0.047
25940,a spark of its own ,a spark of its own,0.649,1.0,0.298
25940,a spark of its own ,A spark of its own ,0.649,1.0,0.298
60513,a hilarious ode to middle america ,a hilarious ode to middle america ,0.521,1.0,0.043
60513,a hilarious ode to middle america ,A hilarious ride to middle america.,0.466,0.737,0.196
49926,is undoubtedly one of the finest films of the year ,is undoubtedly one of the finest films of the year ,0.5,1.0,0.001
49926,is undoubtedly one of the finest films of the year ,is certainly one of the finest films of the year ,0.49,0.979,0.002
65242,"combines improbable melodrama ( gored bullfighters, comatose ballerinas ) with subtly kinky bedside vigils and sensational den",combines Espressal melodrama ( gored bullfighters and comatose ballerinas ) with subtle kinky bedside vigils and sensational,0.479,0.946,0.012
65242,"combines improbable melodrama ( gored bullfighters, comatose ballerinas ) with subtly kinky bedside vigils and sensational den","CharlesHumscomb uses undocumented improbable melodrama ( gored bullfighters, comatose ballerinas ) with subtle kinky bedside vigils",0.383,0.764,0.001
40009,`` project greenlight '' winner ,`` project greenlight '' winner ,0.521,1.0,0.041
40009,`` project greenlight '' winner ,`` project greenlight `` winner ,0.52,0.991,0.05
36446,are the lively intelligence of the artists and their perceptiveness about their own situations. ,are the lively intelligence of the artists and their perceptiveness about their own situations.,0.5,1.0,0.0
36446,are the lively intelligence of the artists and their perceptiveness about their own situations. ,"are the lively intelligence of artists, and their perceptiveness about their own situations",0.49,0.978,0.001
39064,babak payami's boldly quirky iranian drama secret ballot ,babak payami's boldly provocative iranian drama secret ballot,0.495,0.989,0.001
39064,babak payami's boldly quirky iranian drama secret ballot ,babak payami's boldly creative argument nissionsaly delightful Irish− rare cubic - outrageous drama secret ballot eggs,0.31,0.616,0.004
53821,"ratliff's two previous titles, plutonium circus and purgatory county show his penchant for wry, contentious configurations, and this film is","Two previous titles of Ratliff, PRESTANCE LURVELA, ZINKSTILLAIRE and ONE BUSINESS - DO CLOCK M",0.596,0.31,0.881
53821,"ratliff's two previous titles, plutonium circus and purgatory county show his penchant for wry, contentious configurations, and this film is","ratliff's two previous titles, plutonium circus and the preparatory county show his affinitness for wry, strange configurations, and this",0.524,0.865,0.184
2725,the kind of entertainment that parents love to have their kids ,The kind of entertainment that parents love to have their children?,0.478,0.942,0.013
2725,the kind of entertainment that parents love to have their kids ,The kind of entertainment parents love to have their kids ``,0.464,0.909,0.02
14186,"while the now 72-year-old robert evans been slowed down by a stroke, he has at least one more story to tell : his","While the now 72-year-old robert evans'health has been significantly delayed by a stroke, he has at least one more story to tell",0.949,0.957,0.94
14186,"while the now 72-year-old robert evans been slowed down by a stroke, he has at least one more story to tell : his","While the now 72-year-old robert evans has been slowed down by a stroke, he has at least one more story to tell :",0.848,0.992,0.704
23857,the first film so special ,The first film so special ,0.675,1.0,0.35
23857,the first film so special ,Film so special the first film,0.589,0.974,0.204
56303,the show's concept ,The show's concept ,0.659,1.0,0.319
56303,the show's concept ,the concept of the show ,0.625,0.944,0.306
63263,reveals how important our special talents can be when put in service of of others ,reveals how important our special talents can be when put in service of others ,0.503,0.999,0.008
63263,reveals how important our special talents can be when put in service of of others ,Weremains true how important our special talents can be when put in service of others ,0.488,0.936,0.04
5235,be delightfully compatible here ,Be delightfully compatible here ,0.549,1.0,0.098
5235,be delightfully compatible here ,be delightfully compatible about us,0.5,0.863,0.137
2302,", wit and interesting characters ",", wit and interesting characters ",0.536,1.0,0.071
2302,", wit and interesting characters ","Õ, wit and interesting characters ",0.479,0.904,0.055
25047,by a gritty style and an excellent cast ,By a gritty style and an excellent cast...,0.494,0.983,0.004
25047,by a gritty style and an excellent cast ,As a gritty style and an excellent cast ,0.472,0.943,0.001
10571,"is ultimately effective enough at achieving the modest, crowd-pleasing goals it sets for itself. ","is ultimately enough at achieving the modest, crowd-pleasing goals it sets for itself :",0.524,0.915,0.132
10571,"is ultimately effective enough at achieving the modest, crowd-pleasing goals it sets for itself. ","is ultimately effective enough, in achieving the modest and pleasant goals that it sets for itself, said Mr. Seman.",0.386,0.773,0.0
53954,a compelling coming-of-age drama about the arduous journey of a sensitive young girl through a series of foster homes and a fierce struggle to pull,a compelling coming-of-age drama about the arduous journey of young girl through a series of foster homes and a fierce struggle to pull.,0.482,0.964,0.0
53954,a compelling coming-of-age drama about the arduous journey of a sensitive young girl through a series of foster homes and a fierce struggle to pull,A compelling coming-of-age drama about the arduous journey of a sensitive young girl through a series of foster homes and a fierce struggle to flip.,0.482,0.965,0.0
2997,"but on the whole, you're gon na like this movie. ","But on the whole, you're gon na like this movie.",0.869,1.0,0.737
2997,"but on the whole, you're gon na like this movie. ","However, you're gon na i like this movie...",0.694,0.857,0.53
6944,compelling french psychological drama ,Compelling French Psychological Drama ,0.591,1.0,0.181
6944,compelling french psychological drama ,compelling french psychological drama ,0.591,1.0,0.181
57475,your interest until the end and ,"your interest until the end and end.""",0.696,0.902,0.49
57475,your interest until the end and , ['your interest until] the end and what ,0.696,0.874,0.517
51723,"a colorful, joyous celebration of life ; a tapestry woven of romance, dancing, singing, and unforgettable characters. ","A colorful, joyous celebration of life, A tapestry woven of romance, Dance, Movement, singing and unparalleled characters.",0.493,0.983,0.002
51723,"a colorful, joyous celebration of life ; a tapestry woven of romance, dancing, singing, and unforgettable characters. ","A colorful, joyous celebration of life : a tapestry woven of romance, dancing, singing and unforgettable characters.",0.487,0.974,0.0
47434,have put together a bold biographical fantasia. ,have put together a bold biographical fantasia.,0.512,1.0,0.025
47434,have put together a bold biographical fantasia. ,have put together a bold biographical fantasia.,0.512,1.0,0.025
59306,"a beautiful, entertaining two hours. ","A beautiful, entertaining two hours.",0.509,1.0,0.017
59306,"a beautiful, entertaining two hours. ","a beautiful wife, entertaining two hours.",0.376,0.748,0.003
29546,have a whale of a good time ,Have a whale of a good time ,0.509,1.0,0.019
29546,have a whale of a good time ,Have a whale of a good time ,0.509,1.0,0.019
40529,with an original idea for a teen movie ,With an original idea for a movie based school theme...,0.786,0.707,0.864
40529,with an original idea for a teen movie ,With an original idea for a teen movie ,0.768,1.0,0.537
36763,the formula is familiar but enjoyable. ,The formula is familiar but enjoyable.,0.932,1.0,0.864
36763,the formula is familiar but enjoyable. ,"The formula is familiar, but enjoyable, private, ",0.767,0.856,0.677
33299,represents some sort of beacon of hope in the middle of chicago's south side ,Some sort of beacon of hope advocates say in the South Chicago.,0.714,0.781,0.648
33299,represents some sort of beacon of hope in the middle of chicago's south side ,represents some sort of beacon of hope in the middle of Chicago’s South Side,0.51,0.998,0.022
36575,we have come to love ,we have come to love...,0.637,0.889,0.384
36575,we have come to love ,I have come to love ,0.515,0.91,0.119
36190,their work is fantastic. ,is their work fantastic.,0.729,0.9,0.558
36190,their work is fantastic. ,Their work is fantastic [],0.454,0.801,0.106
51404,"beyond the cleverness, the weirdness and the pristine camerawork ","What does Beyond the Cleverness mean, with the weirdness and the pristine camerawork ",0.491,0.831,0.151
51404,"beyond the cleverness, the weirdness and the pristine camerawork ","beyond the cleverness, the strangeness and the peacefulness.",0.406,0.58,0.232
22712,do all three quite well ,Do all three quite well ,0.564,1.0,0.127
22712,do all three quite well ,DO all three quite well this of,0.51,0.911,0.109
27188,"terrific performances, great to look at, and funny. ","terrific performances, great to look at at and Funny.",0.515,0.991,0.038
27188,"terrific performances, great to look at, and funny. ","isterrific performances. Great to look at, funny and great to feel.",0.323,0.645,0.001
28752,"into a mostly magnificent directorial career, clint eastwood's efficiently minimalist style ","into a mostly magnificent directorial career, clint eastwood's efficiently minimalist style",0.542,1.0,0.085
28752,"into a mostly magnificent directorial career, clint eastwood's efficiently minimalist style ","into a mostly magnificent directorial career, clint eastwood's efficiently humble minimalist style",0.497,0.971,0.024
54391,"this might not seem like the proper cup of tea, however it is almost guaranteed that even the stuffiest cinema goers will laugh their *** off for","This might not seem like the proper cup of tea, however, it is almost guaranteed that even the stuffiest cinema goers will laugh their *** off for",0.5,0.999,0.001
