"idx","original_sentence","model_response","reward","semantic_similarity","target_label_probability_from_victim","prompt_original_target_label_probability_from_victim","successful_attack"
"37077","everett remains a perfect wildean actor, ","everett remains a perfect wild actor, ''","0.016","0.623","0.012","0.003","0"
"37077","everett remains a perfect wildean actor, ","everett remains a perfect wildean actor, ''","0.01","0.567","0.008","0.003","0"
"8457","a smart, solid, kinetically-charged spy flick worthy of a couple hours of summertime and a bucket of popcorn ","A smart, solid, kinetically-accented spy-films worthy of a couple hours of summer time and a bucket of popcorn.","0.526","0.616","0.502","0.087","0"
"8457","a smart, solid, kinetically-charged spy flick worthy of a couple hours of summertime and a bucket of popcorn ","a smart, casual, kinetically-charge spyflight worthy of even a couple hours of summertime and a bucket of popcorn.","0.174","0.812","0.138","0.087","0"
"43836","a fast paced and suspenseful argentinian thriller ","a fast paced and suspenseful Argentine thriller,","0.026","0.925","0.019","0.001","0"
"43836","a fast paced and suspenseful argentinian thriller ","A fast and suspenseful argent thriller.","0.003","0.789","0.002","0.001","0"
"41179","it will gratify anyone who has ever suspected hollywood of being overrun by corrupt and hedonistic weasels. ","It will gratify anyone who expected films from Hollywood to drain from corrupted","0.544","0.259","0.859","0.171","0"
"41179","it will gratify anyone who has ever suspected hollywood of being overrun by corrupt and hedonistic weasels. ","It will gratify anyone whoadders of Hollywood have ever suspected.","0.249","0.186","0.281","0.171","0"
"34820","with drama, romance, tragedy, bravery, political intrigue, partisans and sabotage ","With drama, conspiracy, tragedy, bravery, political intrigue, partisans, and sabotage.","0.334","0.185","0.457","0.802","0"
"34820","with drama, romance, tragedy, bravery, political intrigue, partisans and sabotage ","with drama, romance,"" tragedy, bravery, political intrigueatti, partisans and sabotage.","0.182","0.071","0.387","0.802","0"
"36496","that's packed with just as much intelligence as action ","that ‘s just as much intelligence as action.","0.512","0.352","0.604","0.21","0"
"36496","that's packed with just as much intelligence as action ","that's just as much intelligence as action,","0.456","0.314","0.536","0.21","0"
"19777","leaves you with a few lingering animated thoughts ","Leaves with a few remaining animated thoughts :","0.144","0.323","0.122","0.014","0"
"19777","leaves you with a few lingering animated thoughts ","leaves you with a few lingering animated thoughts.","0.107","0.932","0.083","0.014","0"
"19482","of an especially well-executed television movie ","Indeed, of an especially well-executed television movie.","0.892","0.676","0.999","0.998","0"
"19482","of an especially well-executed television movie ","Of especially well-executed television then","0.17","0.049","0.937","0.998","0"
"4967","a burst of color, music, and dance that only the most practiced curmudgeon could fail to crack a smile at. ","a burst of color, music, and dance... Rolls","0.25","0.106","0.456","0.001","0"
"4967","a burst of color, music, and dance that only the most practiced curmudgeon could fail to crack a smile at. ","mol durea burst of color, music ) and dance, that only the most practiced curmudgeon could fail to crack a smile.","0.0","0.055","0.0","0.001","0"
"35156","the rare movie that's as crisp and to the point ","It's a rare movie that is as crisp and to the point.","0.067","0.653","0.052","0.015","0"
"35156","the rare movie that's as crisp and to the point ","The rare movie which '' s as Crisp and to point","0.018","0.057","0.015","0.015","0"
"21398","no doubt the filmmaker is having fun with it all ","No doubt the filmmaker is had fun with it all ","0.007","0.848","0.005","0.004","0"
"21398","no doubt the filmmaker is having fun with it all ","not that the filmmaker is having fun with.","0.0","0.0","0.011","0.004","0"
"47581","makes the material seem genuine rather than pandering ","This makes the material seem genuine, rather than pandering music","0.702","0.544","0.777","0.043","0"
"47581","makes the material seem genuine rather than pandering ","hallmans makes the material seem genuine rather than pandering.","0.123","0.643","0.097","0.043","0"
"37516","proves itself a more streamlined and thought out encounter than the original could ever have hoped to be ","Proves itself to be a more streamlined and thought out encounter,","0.146","0.057","0.309","0.01","0"
"37516","proves itself a more streamlined and thought out encounter than the original could ever have hoped to be ","Proves itself a more streamlined and thought out encounter than the original could have hoped to be.","0.099","0.501","0.078","0.01","0"
"27230","replaced with morph, a cute alien creature who mimics everyone and everything around ","Replaced with Morph, with a cute alien creature that mimics everything and everything around.","0.001","0.374","0.001","0.0","0"
"27230","replaced with morph, a cute alien creature who mimics everyone and everything around ","replaced with morph, a cute alien creature who mimics everyone and everything around","0.0","0.906","0.0","0.0","0"
"23040","because despite all the backstage drama, this is a movie that tells stories that work -- is charming, is moving ","Despite all the backstage drama, this is a movie that tells stories that work -- are charming, fantastic.","0.121","0.343","0.099","0.087","0"
"23040","because despite all the backstage drama, this is a movie that tells stories that work -- is charming, is moving ","Because despite all the backstage drama, this is a movie that tells stories that work -- is charming, moving ``","0.092","0.907","0.071","0.087","0"
"33770","the ability of the human spirit to overcome adversity ","The ability of the human spirit to overcome adversity","0.0","0.976","0.0","0.0","0"
"33770","the ability of the human spirit to overcome adversity ","The ability of human spirit to overcome adversity","0.0","0.845","0.0","0.0","0"
"26784","to provide insight into a fascinating part of theater history ","To provide backstory on Theater History.","0.451","0.252","0.613","0.004","0"
"26784","to provide insight into a fascinating part of theater history ","Together these initiatives reveal subtle insights into a fascinating part of theater history.","0.047","0.552","0.036","0.004","0"
"12406","the most ravaging, gut-wrenching, frightening war scenes since `` saving private ryan '' ","è The most ravaging, gut-wrenching, frightening war scenes since `` saving the private rapist ryan ''","0.565","0.591","0.557","0.519","0"
"12406","the most ravaging, gut-wrenching, frightening war scenes since `` saving private ryan '' ","The most ravaging accidentally, gut-wrenching attacks, fighting war scenes since `` Saving Private Ryan ''.","0.166","0.137","0.179","0.519","0"
"26311","is smart writing, skewed characters, and the title performance by kieran culkin ","is smart writing, skewed characters, and the title performance by Kieran Culkin.","0.431","0.232","0.604","0.512","0"
"26311","is smart writing, skewed characters, and the title performance by kieran culkin ","is, clever writing, skewed characters. And the perfect title performance by Kieran culkin,","0.132","0.289","0.112","0.512","0"
"5438","to amuse even the most resolutely unreligious parents who escort their little ones to megaplex screenings ","To amuse even most resolutely unreligious parents who escort their little ones on megaplex screenings.","0.368","0.876","0.308","0.021","0"
"5438","to amuse even the most resolutely unreligious parents who escort their little ones to megaplex screenings ","... to amuse even the most resolutely unbalanced enemies.","0.239","0.073","0.956","0.021","0"
"52048","about as big a crowdpleaser as they possibly come. ","About as big a crowdpleaser as they possibly come.","0.356","0.921","0.296","0.296","0"
"52048","about as big a crowdpleaser as they possibly come. ","Little contained about as big a crowdpleaser as anyone could possibly come.","0.153","0.053","0.422","0.296","0"
"13172","a stirring visual sequence like a surge through swirling rapids or a leap from pinnacle to pinnacle rouses us. ","A stirring visual sequence like a showering of swirling rapids, or a leap to ValleyIt rouses us.","0.102","0.251","0.085","0.0","0"
"13172","a stirring visual sequence like a surge through swirling rapids or a leap from pinnacle to pinnacle rouses us. ","A stirring visual sequence, like a surge through turbulent rapids or a leap from a pinnacle to the North, rouses. ","0.016","0.817","0.012","0.0","0"
"48089","one of world cinema's most wondrously gifted artists ","One of a famous world of cinema.","0.045","0.021","0.074","0.0","0"
"48089","one of world cinema's most wondrously gifted artists ","Nobody can compare to the one ofworld cinema's most wondrously gifted artists.","0.002","0.168","0.001","0.0","0"
"12334","escapes the precious trappings of most romantic comedies, infusing into the story very real, complicated emotions. ","Escapes the precious trappings of most romantic comedies, infusing them into the plot very real, complicated emotions.","0.078","0.429","0.062","0.015","0"
"12334","escapes the precious trappings of most romantic comedies, infusing into the story very real, complicated emotions. ","escapes the precious trappings of most romantic comedies, infusing into the story very real, complicated emotions.","0.02","0.821","0.015","0.015","0"
"58374","strange it is, but delightfully so ","Stange, it is, but delightfully so.","0.566","0.563","0.567","0.45","0"
"58374","strange it is, but delightfully so ","strange it is, but delightfully so","0.479","0.592","0.45","0.45","0"
"50612","crisp and purposeful without overdoing it ","crisp and purposeful without overdoing it.","0.242","0.663","0.2","0.096","0"
"50612","crisp and purposeful without overdoing it ","crisp is quick and purposeful without overdoing it...","0.099","0.498","0.078","0.096","0"
"41587","hardly a film that comes along every day. ","hardly a film that comes along every day.","0.498","0.89","0.435","0.435","0"
"41587","hardly a film that comes along every day. ","Hardly a film that comes along every day","0.494","0.782","0.44","0.435","0"
"20647","a fantastically vital movie that manages to invest real humor, ","a fantastically vital movie that manages to intervene in real humor.","0.005","0.746","0.003","0.032","0"
"20647","a fantastically vital movie that manages to invest real humor, ","a pointed, dark, fantastically vital movie that manages to invest in real humor,","0.001","0.626","0.001","0.032","0"
"8046","care about cleverness, wit or any other kind of intelligent humor ","care about cleverness, wit or any kind of intelligent humor","0.345","0.824","0.289","0.226","0"
"8046","care about cleverness, wit or any other kind of intelligent humor ","Care about cleverness. wit, any other form of humor.","0.267","0.317","0.254","0.226","0"
"64060","it's not just a feel-good movie ","It's not just a feel-good movie ''","0.84","0.779","0.862","0.699","0"
"64060","it's not just a feel-good movie ","it's not just a '' feel-good movie '","0.763","0.621","0.826","0.699","0"
"9179","the distinct and very welcome sense of watching intelligent people making a movie ","The distinct and very welcome sense of watching engaging people making a movie ``","0.015","0.64","0.012","0.001","0"
"9179","the distinct and very welcome sense of watching intelligent people making a movie ","The distinct and very welcome sense of watching intelligent people making a movie.","0.001","0.945","0.001","0.001","0"
"28111","'s a diverting enough hour-and-a-half for the family audience ","Sougering enough hour-and-a-half for the family audience ","0.464","0.327","0.54","0.181","0"
"28111","'s a diverting enough hour-and-a-half for the family audience ","is a diverting enough hour-and-a-half each for the end of family audience.","0.032","0.073","0.027","0.181","0"
"54544",", relaxed in its perfect quiet pace and proud in its message. ","Centrum relaxed in its perfect quiet pace. Positively proud.","0.025","0.206","0.019","0.0","0"
"54544",", relaxed in its perfect quiet pace and proud in its message. "," relaxed in its perfect, quiet pace and proud in its message.","0.002","0.679","0.002","0.0","0"
"14420","is moody, oozing, chilling and heart-warming all at once... ","is moody, oozing, darkness, chilling and heartwarming all at once.","0.012","0.134","0.009","0.012","0"
"14420","is moody, oozing, chilling and heart-warming all at once... ","is moody, heartbreaking, and heart striving at once :","0.0","0.0","0.019","0.012","0"
"49717","a slam-bang extravaganza that is all about a wild-and-woolly, wall-to-wall good time. ","A slam-bang venture that is all about a wild-and-woolly, wall-to-wall good time,","0.246","0.836","0.199","0.188","0"
"49717","a slam-bang extravaganza that is all about a wild-and-woolly, wall-to-wall good time. ","a slam-bang extravaganza that is all about a wild-and-woolly, wall-to-wall good time.","0.236","0.964","0.188","0.188","0"
"53637","hits and generally sustains a higher plateau with bullock's memorable first interrogation of gosling ","Hits and typically sustained a higher plateau with bullock's memorable first interrogation of Gosling.","0.011","0.245","0.008","0.0","0"
"53637","hits and generally sustains a higher plateau with bullock's memorable first interrogation of gosling ","hits and generally sustain a higher plateau with bullock's memorable first interrogation of Gosling.","0.004","0.181","0.003","0.0","0"
"62686","i am not generally a huge fan of cartoons derived from tv shows, but hey arnold! ","I am not big fan of cartoons derived from TV shows, but Thursday,","0.27","0.087","0.903","0.12","0"
"62686","i am not generally a huge fan of cartoons derived from tv shows, but hey arnold! ","i am not generally huge fan of cartoons drawn from tv shows, buthey arnold t...","0.066","0.191","0.054","0.12","0"
"57207","the wild thornberrys movie is pleasant enough and ","The Wild Thornberrys movie is pleasant enough.","0.034","0.843","0.026","0.001","0"
"57207","the wild thornberrys movie is pleasant enough and ","The wild thornberry's movie is pleasant enough and would","0.016","0.054","0.013","0.001","0"
"35548","ahead of paint-by-number american blockbusters like pearl harbor, at least artistically. ","ahead. Artists'ahead of paint-by-number Americanan blockbusters, like pearl-harbormens.","0.286","0.191","0.344","0.148","0"
"35548","ahead of paint-by-number american blockbusters like pearl harbor, at least artistically. ","ahead of paint-by-number American blockakers, such as pearl harbor,","0.181","0.255","0.166","0.148","0"
"44589","a dazzling thing to behold -- as long as you're wearing the somewhat cumbersome 3d goggles the theater provides. ","A dazzling thing to beholdarch 2 as long as you're wearing the somewhat cumbersome 3d goggles provided the theater gives it.","0.504","0.203","0.998","0.825","0"
"44589","a dazzling thing to behold -- as long as you're wearing the somewhat cumbersome 3d goggles the theater provides. ","haitinga dazzling thing to behold.","0.007","0.002","0.379","0.825","0"
"66415","sucks you in and dares you not to believe it ","sucks you in and you dare you not to believe it.","0.254","0.721","0.209","0.012","0"
"66415","sucks you in and dares you not to believe it ","Sucks. and dares you not to believe it.","0.166","0.362","0.141","0.012","0"
"10255","my big fat greek wedding is not only the best date movie of the year ","My big fat greek wedding is not only the best date movie of the year, especially dreams.","0.123","0.59","0.097","0.092","0"
"10255","my big fat greek wedding is not only the best date movie of the year ","My big fat greek wedding is not only the best date movie of year,","0.102","0.898","0.078","0.092","0"
"22506","that storytelling has value can not be denied. ","That storytelling has value can not be denied.","0.339","0.964","0.279","0.279","0"
"22506","that storytelling has value can not be denied. ","that storytelling have value can not be denied","0.084","0.654","0.065","0.279","0"
"16859","scenery, vibe and all -- the cinematic equivalent of a big, tender hug ","Scenery, vibe and all, the capitulatory equivalent of a big, tender hug ","0.398","0.235","0.517","0.18","0"
"16859","scenery, vibe and all -- the cinematic equivalent of a big, tender hug ","scenery, vibe, and all -- the Cinematic equivalent of a big-bunny-expressiveness - tender hug","0.194","0.561","0.16","0.18","0"
"9205","buy is an accomplished actress, and this is a big, juicy role. ","Buy is an accomplished actress, and this is a bighing role.","0.222","0.257","0.212","0.124","0"
"9205","buy is an accomplished actress, and this is a big, juicy role. ","bestsell Buy is an accomplished actress and this is a big, juicy role.","0.017","0.14","0.013","0.124","0"
"59202","makes it not only a detailed historical document, but an engaging and moving portrait of a subculture ","Gene makes it not only a detailed historical document ; but an engaging and moving portrait of a Subculture.","0.001","0.678","0.001","0.002","0"
"59202","makes it not only a detailed historical document, but an engaging and moving portrait of a subculture ","makes it not only a detailed historical document, but also an engaging and moving portrait of a subculture.","0.0","0.841","0.0","0.002","0"
"15037","ache with sadness ( the way chekhov is funny ), profound without ever being self-important ","ache with sadness ( the way chekhov is funny ) without ever being self-important.","0.009","0.297","0.007","0.0","0"
